ds,yhat,yhat_lower,yhat_upper
2020-08-21,60.13409611313826,-312.1241689448476,450.78815088319163
2020-08-22,38.255695808436286,-359.87590608392213,458.36085394775364
2020-08-23,47.25905318038587,-341.7782178287858,450.5174231004769
2020-08-24,60.942421903718454,-355.8775421889322,437.0848391721215
2020-08-25,70.16001909629873,-301.80844888712494,464.0145743582621
2020-08-26,76.8148422337852,-305.3591400223226,413.8836695717562
2020-08-27,40.249630748187336,-334.7622947233176,388.7086137775646
2020-08-28,61.266150693900016,-323.9445026547558,437.8156222846667
2020-08-29,42.02892099108591,-361.2770115336436,415.36900924055215
2020-08-30,53.67344896486378,-345.7509189819522,406.8342496492289
2020-08-31,69.99798829028104,-320.1282309558619,466.80938662289884
2020-09-01,81.85675608445914,-289.4174613670119,453.7596794672606
2020-09-02,91.15274982385479,-271.79961989725894,491.74103678061056
2020-09-03,57.228708940169014,-311.38390906280836,429.1833383240394
2020-09-04,78.2452288859113,-291.9699952180696,463.7208887186985
2020-09-05,59.00799918302623,-347.6543758766763,451.0615009739347
2020-09-06,74.65206478371496,-315.44925303316444,451.7621041607622
2020-09-07,94.976141735975,-313.2319627056818,482.07339738905165
2020-09-08,110.83444715713037,-274.4435615181849,515.1296478182192
2020-09-09,124.12997852341395,-245.03457763571228,501.45235945179144
2020-09-10,94.20547526656233,-284.1478990437871,491.4337685215364
2020-09-11,119.22153283911724,-250.05957826409445,529.9122600625543
2020-09-12,103.98384076320804,-295.83356475809416,515.4779719973732
2020-09-13,119.62790636389417,-255.40214302809903,479.5841215942784
2020-09-14,139.95198331603297,-223.42278077351165,497.09626053204937
2020-09-15,155.81028873730273,-244.54023077171524,589.5579627189773
2020-09-16,173.58302867192089,-198.86384696921348,564.681839867298
2020-09-17,148.1357339835445,-226.43383719611683,527.2066932271647
2020-09-18,177.6290001245665,-198.2895923636518,541.9787711149509
2020-09-19,166.8685166170248,-228.33831552475925,566.2416790881674
2020-09-20,186.98979078616043,-185.9382573602138,553.7429982664366
2020-09-21,211.7910763067284,-176.3175220521116,562.2102487601983
2020-09-22,232.12659029640017,-139.89934056543305,630.3150217452873
2020-09-23,249.89933023113787,-120.68519941504708,635.0130346366805
2020-09-24,224.45203554271262,-140.32455172095982,629.2018225730084
2020-09-25,257.1824555415509,-130.90558623477645,663.1590073211006
2020-09-26,249.6591258917783,-116.71967742986749,640.3137416805575
2020-09-27,273.01755391876236,-136.63047755306758,647.3470319368324
2020-09-28,301.05599329719104,-72.16593479060664,688.5866322747352
2020-09-29,324.62866114469665,-54.829031964365335,689.8361486825006
2020-09-30,345.63855493714397,-39.24531249790294,739.75899580102
2020-10-01,323.4284141065693,-68.76325696105131,701.9105099771317
2020-10-02,356.1588341054369,-34.59939841250706,697.5714950092688
2020-10-03,348.6355044557093,-26.30703863009173,752.9498561995922
2020-10-04,376.0890934181629,-37.876940980457825,769.4448941142367
2020-10-05,408.2226937323416,6.96854628314809,798.2954101783278
2020-10-06,435.8905225154049,59.35924541164789,846.7900287445065
2020-10-07,460.99557724346283,52.768794083961545,855.3876282180698
2020-10-08,442.88059734855983,60.14621742184865,826.9576040288201
2020-10-09,479.7061782830461,97.8301932027319,896.5159434957278
2020-10-10,476.2780095689007,86.54328099456885,876.672415085976
2020-10-11,503.73159853144216,108.746837114017,865.4493351329545
2020-10-12,535.8651988456169,143.0202170340958,907.0967369007761
2020-10-13,564.5858287489527,226.63148019969162,944.8608776031292
2020-10-14,590.7436845973164,202.12242721266398,1011.2464193687892
2020-10-15,573.6815058225332,144.90113348970425,956.508935730868
2020-10-16,611.5598878772809,218.6730918919195,993.0516332702692
2020-10-17,609.1845202834253,237.03870051187135,1012.7463832799305
2020-10-18,637.6909103661699,283.8142246888061,1035.3246297961612
2020-10-19,670.8773118005624,278.3466294571845,1056.3754782823453
2020-10-20,699.5979417039307,321.31372623034713,1096.6077154900913
2020-10-21,725.755797552259,348.80178095120453,1100.7530045607925
2020-10-22,708.6937107153559,353.4379137754554,1094.8653599968889
2020-10-23,746.572184707855,350.12190776165323,1133.8375912009217
2020-10-24,744.1969090518111,344.45355212367247,1099.0985923216165
2020-10-25,772.7033910724066,395.38256787095526,1169.4181223254097
2020-10-26,805.8898844446461,439.26486596798935,1166.2053024813176
2020-10-27,834.6106062856833,441.2511095340291,1228.9054669476084
2020-10-28,860.7685540718595,480.44192647904725,1246.564977982429
2020-10-29,843.7064672349074,453.4513030058832,1227.069688576022
2020-10-30,881.584941227437,512.0040202261089,1271.6784178455982
2020-10-31,879.2096655713825,471.655268858522,1250.72881752761
2020-11-01,907.716227020497,535.4068414759765,1290.1489740738302
2020-11-02,940.9027998209993,551.7832701730351,1331.3264464771037
2020-11-03,969.6236010906252,608.2751118737232,1336.5998331336118
2020-11-04,995.7816283052309,625.3586395514246,1383.5753034238612
2020-11-05,978.7196208967889,598.260860942643,1380.9884674812308
2020-11-06,1016.5981743177479,620.9473143151642,1431.4114871072666
2020-11-07,1014.2229780902228,636.9853560868979,1401.2580451535848
2020-11-08,1042.7295395392134,616.3030811026824,1436.7131395423987
2020-11-09,1075.916112339841,675.8419966633105,1471.9335976016998
2020-11-10,1104.6557992181408,679.9960705153757,1498.8582332670928
2020-11-11,1130.8327120415154,721.9428901026938,1489.7811713236954
2020-11-12,1113.7895902418177,768.644203280647,1509.0156218463035
2020-11-13,1151.687029271539,770.9786969275896,1519.4842071092603
2020-11-14,1149.3307186527409,746.9985377161007,1527.5107483069905
